"","gene_id","gene_symbol"
"412","ENSMUSG00000002325.15","Irf9"
"413","ENSMUSG00000002326.6","Gmpr2"
"414","ENSMUSG00000002329.7","Mdp1"
"415","ENSMUSG00000002332.16","Dhrs1"
"416","ENSMUSG00000002341.8","Ncan"
"417","ENSMUSG00000002342.17","Tmem161a"
"418","ENSMUSG00000002343.11","Armc6"
"419","ENSMUSG00000002345.18","Borcs8"
"420","ENSMUSG00000002346.16","Slc25a42"
"421","ENSMUSG00000002365.10","Snx9"
"422","ENSMUSG00000002372.9","Ranbp3"
"423","ENSMUSG00000002379.7","Ndufa11"
"424","ENSMUSG00000002384.2","Bmp8b"
"425","ENSMUSG00000002393.14","Nr2f6"
"426","ENSMUSG00000002395.14","Use1"
"427","ENSMUSG00000002396.8","Ocel1"
"428","ENSMUSG00000002409.18","Dyrk1b"
"429","ENSMUSG00000002413.15","Braf"
"430","ENSMUSG00000002416.13","Ndufb2"
"431","ENSMUSG00000002428.12","Hltf"
"432","ENSMUSG00000002455.14","Prpf6"
"433","ENSMUSG00000002458.13","Rgs19"
"434","ENSMUSG00000002459.17","Rgs20"
"435","ENSMUSG00000002475.16","Abhd3"
"436","ENSMUSG00000002477.5","Snrpd1"
"437","ENSMUSG00000002486.15","Tchp"
"438","ENSMUSG00000002489.16","Tiam1"
"439","ENSMUSG00000002496.10","Tsc2"
"440","ENSMUSG00000002500.15","Rpl3l"
"441","ENSMUSG00000002504.15","Slc9a3r2"
"442","ENSMUSG00000002524.17","Puf60"
"443","ENSMUSG00000002546.17","Golga2"
"444","ENSMUSG00000002550.16","Uck1"
"445","ENSMUSG00000002565.16","Scin"
"446","ENSMUSG00000002578.18","Ikzf4"
"447","ENSMUSG00000002580.7","Mien1"
"448","ENSMUSG00000002588.13","Pon1"
"449","ENSMUSG00000002602.16","Axl"
"450","ENSMUSG00000002603.15","Tgfb1"
"451","ENSMUSG00000002608.8","Ccdc97"
"452","ENSMUSG00000002617.14","Zfp40"
"453","ENSMUSG00000002625.10","Akap8l"
"454","ENSMUSG00000002633.4","Shh"
"455","ENSMUSG00000002635.11","Pdcd2l"
"456","ENSMUSG00000002658.9","Gtf2f1"
"457","ENSMUSG00000002660.8","Clpp"
"458","ENSMUSG00000002661.14","Alkbh7"
"459","ENSMUSG00000002664.2","Pspn"
